brand,model,price_egp,cpu,cpu_cores,cpu_max_speed,cpu_score,gpu,vram,ram,hard_capacity,display_size,refresh_rates,resolution,warranty,warranty_duration,windows_11,seller,link_to_product
Lenovo,LOQ 15IRX9,"53,333",Intel Core i7 14700HX,20,5.5,"37,275",NVIDIA GeForce RTX 4060,8,16,512GB,15.6,144Hz,1920x1080,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-loq-15irx9-gaming-laptop-intel-core-i7-14700hx-512gb-ssd-16gb-ram-nvidia-geforce-rtx-4060-8gb-15-6-inch-fhd-luna-grey
HP,nan,"53,000",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4050,6,16,1TB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/hp-gaming-laptop-i7-13700h-16gb-1tb-rtx-4050-15-6-fhd-win-11-15-fa1002ne-silver.html
HP,Victus 16-r0001ne,"52,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 3050,6,16,512GB,16.1,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/hp-victus-16-r0001ne-gaming-laptop-intelr-coretm-i7-13700h-nvidiar-geforce-rtxtm-3050-6gb-16gb-ram-512gb-ssd-16-1-fhd-win11-black-1-html.html
HP,Victus 15-fa1001ne 7Q765EA,"52,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4050,6,16,1TB,15.6,144Hz,1920x1080,0,0,1,B.TECH,https://beta.btech.com/en/p/hp-victus-15-fa1001ne-7q765ea-gaming-laptop-15-6-inch-fhd-144hz-mica-silver/e683e264-bc5f-4050-88b3-6cfe49b3e9b6
HP,Victus 15-fa1001ne 7Q765EA,"52,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4060,6,16,1TB,15.6,144Hz,1920x1080,1,1,1,2B,https://2b.com.eg/en/hp-victus-15-fa1001ne-laptop-intelr-core-i7-13700h-16gb-1tb-ssd-nvidiar-geforcer-rtx-4050-6gb-15-6-fhd-144hz-win11-natural-silver.html
Gigabyte,G5 KF5-H3EE354KD,"52,222.00",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4060,8,16,1TB,15.6,144Hz,1920x1080,1,2,0,compuscience,https://compuscience.com.eg/en/laptop/4022-2575-gigabyte-g5-kf5-h3ee354kd-intel-core-i7-13620h-16gb-ddr5-ssd1tb-nvme-rtx-4060-8gb-156-inch-ips-144hz-iron-gray.html#/72-payment_plan-cash
Lenovo,LOQ 15IRX9 83DV0129ED,"51,999.00",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4050,6,24,512GB,15.6,144Hz,1920x1080,1,2,0,TECHNOLOGYVALLEY,https://tv-it.com/products/lenovo-loq-15irx9-gaming-laptop-83dv0129ed
ASUS,TUF A14,"51,999",AMD Ryzen 7 8845HS,8,5.1,"28,446",NVIDIA GeForce RTX 4050,6,16,512GB,14,120HZ,2560x1600,1,1,1,Dream 2000,https://dream2000.com/en/asus-tuf-a14-gaming-laptop-amd-ryzentm-7-8845hs-16gb-ram-512gb-ssd-amd-radeontm-navi3-14-0-2-5k-win11-fa401uu-rg028w-jaeger-gray.html
MSI,Katana A15 AI B8VE 9S7-158N31-615,"51,999",AMD Ryzen 9 8945HS,8,5.1,"28,446",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,2,0,RAYA,https://www.rayashop.com/en/msi-katana-a15-ai-b8ve-gaming-laptop-amd-ryzen-9-8945hs-processor-156-inch-fhd-display-512-gb-ssd-16-gb-ram-ddr5-nvidia-geforce-rtx-4050-6-gb-graphics-dos-black-9s7-158n31-615-1
Lenovo,LOQ 15IRX9,"51,999.00",Intel Core i7 14700HX,20,5.5,"37,275",NVIDIA GeForce RTX 4060,8,16,512GB,15.6,144Hz,1920x1080,1,1,0,compuscience,https://compuscience.com.eg/en/laptop/4406-3330--lenovo-loq-15irx9-i7-14700hx-156-16gb-512gb-ssd-nvidia-geforce-rtx-4060-8gb-luna-grey.html#/72-payment_plan-cash
HP,Victus16-r0042ne,"51,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4060,8,16,1TB,16.1,144Hz,1920x1080,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/hp-16-r0042ne-gaming-laptop-intel-core-i7-13700h-1tb-ssd-16-gb-ram-nvidia-geforce-rtx-4060-8-gb-16-1inch-fhd-mica-silver
Asus,TUF Gaming A15 FA507NVR-LP007W,"51,999",AMD Ryzen 7 7435HS,8,4.5,"23,314",NVIDIA GeForce RTX 4060,8,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/asus-tuf-gaming-a15-fa507nvr-lp007w-ryzentm-7-7435hs-16gb-ram-512g-ssd-15-6-fhd-geforce-rtxtm-4060-win11-jaeger-gray.html
Asus,TUF Gaming F16 FX607VU-RL007W,"51,499",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4050,6,16,512GB,16,144Hz,1920x1200,1,1,1,EGYPTLAPTOP,https://egyptlaptop.com/laptops/asus-tuf-gaming-f16-fx607vu-rl007w-gaming-laptop-intel-core-i7-13620h-512gb-ssd-16gb-ram-nvidia-geforce-rtx-4050-6gb-16-inch-fhd-win-11-mecha-gray
Asus,TUF A15 FA507NUR-LP007W,"51,499",AMD Ryzen 7 7435HS,8,4.5,"23,314",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,0,0,1,B.TECH,https://beta.btech.com/en/p/asus-tuf-a15-fa507nur-lp007w-gaming-laptop-15-6-inch-144hz-fhd-jaeger-gray/f0e6e71c-86a3-4bb0-87fd-b97d08c1a93c
HP,Victus,"50,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/hp-victus-gaming-laptopintelr-coretm-i7-13700h-16gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-win11-15-fa1109ne-performance-blue.html
Lenovo,LOQ 15IRX9,"50,999",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4060,8,24,512GB,15.6,144Hz,1920x1080,1,1,0,EGYPTLAPTOP,https://egyptlaptop.com/laptops/lenovo-loq-15irx9-gaming-laptop-intel-core-i7-13650hx-512gb-ssd-24gb-ram-nvidia-geforce-rtx-4060-8gb-15-6-inch-fhd
HP,Victus 15-fa1111ne,"49,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,1,1,Dream 2000,https://dream2000.com/en/hp-victus-gaming-laptop-intelr-coretm-i7-13700h-16gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-4050-15-6-fhd-win-11-15-fa1111ne-mica-silver.html
HP,Victus 16-r0046ne 81Q01EA,"49,999",Intel Core i7 13700H,14,5,"26,315",NVIDIA GeForce RTX 4050,6,16,1TB,16.1,144Hz,1920x1080,1,1,0,RAYA,https://www.rayashop.com/en/hp-victus-16-r0046ne-gaming-laptop-intel-core-i7-13700h-processor-161-inch-fhd-display-1-tb-ssd-16-gb-ram-ddr5-nvidia-geforce-rtx-4050-6-gb-graphics-dos-blue-81q01ea-7
ASUS,TUF Gaming F15 FX507VU-LP163W,"49,999",Intel Core i7 13620H,10,4.9,"24,111",NVIDIA GeForce RTX 4050,6,16,512GB,15.6,144Hz,1920x1080,1,2,1,RAYA,https://www.rayashop.com/en/asus-tuf-gaming-f15-fx507vu-lp163w-laptop-intel-core-i7-13620h-processor-15-6-inch-fhd-display-512-gb-ssd-16-gb-ram-ddr5-nvidia-geforce-rtx-4050-6-gb-graphics-win11-jaeger-grey-90nr0cj8-m00al0
Gigabyte,G6X 9KG,"49,999.00",Intel Core i7 13650HX,14,4.9,"30,649",NVIDIA GeForce RTX 4060,8,16,512GB,16,165Hz,1920x1200,1,2,0,compuscience,https://compuscience.com.eg/en/laptop/4024-2579-gigabyte-g6x-9kg-intel-core-i7-13650hx-16gb-ddr5-ssd-512gb-rtx-4060-8gb-16-inch-165hz.html#/72-payment_plan-cash
